Symbol,sentiment,sentiment_score,MACD,MACD Signal,MACD Diff,sma3_minus_close,sma6_minus_close,sma9_minus_close,sma12_minus_close,sma15_minus_close,sma18_minus_close,sma21_minus_close,sma24_minus_close,sma27_minus_close,oil,oil_pct_1,oil_pct_2,oil_pct_3,oil_pct_4,gold,gold_pct_1,gold_pct_2,gold_pct_3,gold_pct_4,^FVX,^TNX,^TYX,^FVX_log_yoy,^TNX_log_yoy,^TYX_log_yoy
HOLX,0.0002047425536655686,0.0567643149045485,0.0999885219890299,0.2155389343167859,0.06743160325428135,0.006299025714834732,0.003894844996891526,0.006359366806337575,0.006664072839374404,0.00646303562155906,0.009316891495311197,0.010870422344771197,0.01216897993483597,0.014662133870448396,0.022166338579694248,0.016318536268865168,0.023942219643666565,0.0229408299070145,0.03428937024503581,0.040585509592657845,0.04103546798957925,0.03319853197943837,0.013540237707852504,0.028822545748861145,0.008212710576266853,0.1020492402718457,0.07430694817312485,0.010849253590734118,0.003388163347040775,0.007727205735647209
ORLY,0.00019659341903219624,0.011085892812341779,0.07062452158011764,0.35521279774897374,0.023414871103506877,0.011410469361412125,0.04873950353027156,0.025375327030147575,0.015836622537994158,0.03426556835134,0.011052482083802969,0.007858886663200346,0.026763726698298528,0.06008306531915049,0.013492701316404504,0.03911352351882109,0.010624452922505488,0.03302994625339412,0.03094620452077632,0.02373510370117465,0.026570488930537282,0.02520292716345739,0.011977279610133692,0.016202454609132493,0.014817074449392021,0.010620474071847694,0.014508499466042714,0.00907322315365485,0.006442373388725683,0.011722944684409943
FI,0.003410005555855853,0.02016298353351033,0.01612794546205506,0.11407953141208213,0.011501426123232551,0.012220835559626953,0.0036389675786928054,0.0020310797133610177,0.0022718826842904817,0.036795734147767725,0.026726418116131308,0.014703599471113122,0.008727023975438057,0.0264592056646122,0.1083736826940188,0.04474733895161518,0.013585065696182225,0.020744483553417976,0.017968040343856764,0.10267944156370686,0.03783238968539245,0.011243473297546975,0.0165526346678334,0.009666040108706779,0.12263340972673935,0.049023148867199766,0.11839389207435791,0.01568523861422076,0.0016128324571499633,0.010402248700285369
ACGL,0.00039570969914669714,0.01349290255874525,0.08384514929329695,0.3440321125225645,0.014062577724937545,0.007168665571004895,0.00416024464645838,0.0019113395702991865,0.008827531178910601,0.02958155815048957,0.020002682108492886,0.04508848578326385,0.034473018081257516,0.05732702775146932,0.03825286342891099,0.03139364466341167,0.012903701838538732,0.016897311105643024,0.027640011424704996,0.01067563877593252,0.03019411692234939,0.005009674187835313,0.006250078306239573,0.002143007209463351,0.023955536340868982,0.012042167126661289,0.02469964589751998,0.023328114830654008,0.02717216098070222,0.043073322320226884
WBD,0.0002303515427742881,0.013763544851980497,0.033076333685174625,0.24210942392705373,0.003581068657091034,0.009603639889623606,0.003794186553042756,0.017436397154911985,0.012918598386308855,0.01173907743103488,0.02267065432699843,0.004851956852966567,0.0026466953188017425,0.03340946127184271,0.011796921691636379,0.010651641203938723,0.009729800248904626,0.0052654932345672775,0.006657509900441812,0.23251008891849903,0.007911819222801096,0.010438470992894617,0.026253426845271915,0.01235860543435847,0.03756028867195729,0.11518448398536842,0.04266949375388434,0.011946103182411282,0.018872056013469314,0.028362406849989856
PPL,0.001108033028401034,0.00918539251511651,0.016624924743252972,0.39837780439604253,0.009372641611316635,0.019725841072004865,0.03640769652625062,0.03609831693996242,0.01574646169506656,0.038568952766642524,0.0023147273360343344,0.00593929950451988,0.013353051483008723,0.0381826657286711,0.009777072946207027,0.19454486913786306,0.00830929777423211,0.004815673746263324,0.01483587663760769,0.01754459549716694,0.009567731274482714,0.014274262719100043,0.005126073900137373,0.007338747285530105,0.016742455457106994,0.006574252613866466,0.007700874298345915,0.014731605545308338,0.012091090033857116,0.015019711786634233
LYV,0.012837521669550284,0.01549715779589477,0.02778740583212048,0.3967840985938396,0.0107548940995881,0.018659419512326633,0.006711426617626894,0.005975092341265837,0.005853097598809119,0.003310985445921963,0.006865840412600338,0.041579727089606375,0.01666004609455345,0.008566209364097294,0.019837623618210093,0.08992710491728248,0.024228127377439162,0.006951295603404767,0.014707557767960849,0.016643183341553538,0.005009124376777019,0.010753845679253794,0.017837184304766017,0.021819937875931634,0.01602938623995607,0.01560775605835987,0.10564419582498928,0.017065538772760427,0.007419492590494177,0.032675723183059724
PM,0.0036198064188152405,0.04142911986559104,0.07245963102479698,0.24442821480944288,0.02154516768437556,0.010791246447222411,0.01885319874831215,0.013443381188642262,0.012267208999971056,0.01231711880920738,0.04915412360536427,0.004100925763689638,0.02227107024237668,0.011130895960243047,0.018573792432418513,0.04381430561223671,0.006962218160136036,0.005578418560448812,0.022923704147858534,0.14371806101460752,0.04300585867684239,0.009547109771162274,0.016584105721813465,0.012186069259578124,0.04175884703674229,0.018836294562610552,0.046522561287576716,0.005407001594565262,0.011361140908994321,0.015409401684357844
WHR,0.003108388869907371,0.008770895527458616,0.0479333028618673,0.5234517796673089,0.00918490797263007,0.07128328697924824,0.04502684197446601,0.029546537830775314,0.013807834981657122,0.007719866200663798,0.006705302967772979,0.010067131748327518,0.010516225824007613,0.01658922822445216,0.0147282628278424,0.012743394034105422,0.016509089829329558,0.022599788176512505,0.01954013163107635,0.005934079811148562,0.011792608032263141,0.01750279694707689,0.012502904261961139,0.011953182489895976,0.007604130429074024,0.0059524701420152195,0.007283218442583127,0.01663519276813943,0.004156205845172123,0.00885101270126102
EL,0.01991540571896734,0.02176022509568695,0.16283570430388852,0.1385917811446703,0.008465109274780232,0.08376578416280796,0.006518321130072194,0.0042527712176374174,0.007338471717997144,0.01281606424879642,0.012008478987563668,0.019696720279060272,0.032511278898967814,0.12301153238710434,0.013662857823278413,0.011717674365588111,0.020987561138512908,0.06385607499045629,0.010851402082514278,0.011710772838640252,0.04459417418762544,0.021338354999078626,0.015658455832736885,0.01398362448475966,0.01837372416851017,0.024755523970741832,0.04107347060056649,0.00896399964530228,0.007302796004823845,0.01768188429886413
